sintomas_texto,diagnostico,sintomas_limpo,diagnostico_limpo
"tremores nas mãos, rigidez muscular, movimentos lentos",parkinson,tremores nas mãos rigidez bradicinesia,doenca_parkinson
"dor intensa na barriga, enjoo, vômito, confusao e perda de apetite",porfiria,dor intensa na barriga enjoo vômito confusão e inapetência,porfiria
"esquecimento constante, confusão, perda de referências com fraqueza",alzheimer,esquecimento constante confusão perda de referências com fraqueza,doenca_alzheimer
"cansaço, dor na barriga, tremor, problemas no fígado",doenca_wilson,cansaço dor abdominal tremor problemas no fígado,doenca_wilson
"dor abdominal intensa, náusea persistente, vômito, confusão mental com fraqueza",porfiria,dor abdominal intensa náusea persistente vômito confusão mental com fraqueza,porfiria
cansaco extremo dor articular severa crises dolorosas e mal estar geral,anemia_falciforme,cansaço extremo dor articular severa crises dolorosas e mal estar,anemia_falciforme
"dor no corpo todo, cansaço constante, dificuldade para dormir",fibromialgia,dor no corpo todo cansaço constante insônia,fibromialgia
"cansaço extremo, dor articular severa, crises dolorosas",anemia_falciforme,cansaço extremo dor articular severa crises dolorosas,anemia_falciforme
"cansaço extremo, dor articular, episódios dolorosos e dor de cabeça",anemia_falciforme,cansaço extremo dor articular episódios dolorosos e dor de cabeça,anemia_falciforme
"temperatura alta, dor nos músculos, cansaço que nao passa",febre_maculosa,febre dor nos músculos cansaço que nao passa,febre_maculosa
"tremores nas extremidades, rigidez, lentidão motora e dor de cabeça",parkinson,tremores nas extremidades rigidez bradicinesia e dor de cabeça,doenca_parkinson
"dor abdominal severa, enjoo, vômito, confusao mental",porfiria,dor abdominal severa enjoo vômito confusão mental,porfiria
"fadiga persistente, perda de força, visão dupla, formigamento acompanhado de tontura",esclerose_multipla,fadiga persistente perda de força diplopia formigamento acompanhado de tontura,esclerose_multipla
"fadiga severa, obesidade, frieza excessiva",hipotireoidismo,fadiga severa obesidade frieza excessiva,hipotireoidismo
"dores musculares difusas, fadiga severa, sono ruim",fibromialgia,dores musculares difusas fadiga severa insônia,fibromialgia
"fadiga severa crônica, dor no corpo todo, problemas de foco",sindrome_fadiga_cronica,fadiga severa crônica dor no corpo todo problemas de foco,sindrome_fadiga_cronica
"dor articular crônica, juntas inchadas, rigidez matinal",artrite_reumatoide,dor articular crônica inchaço articular rigidez matinal,artrite_reumatoide
"tremor nas mãos, rigidez corporal, bradicinesia",parkinson,tremor nas mãos rigidez corporal bradicinesia,doenca_parkinson
"secura na boca, olhos ressecados, cansaço, dor articular crônica com fraqueza",sindrome_sjogren,secura na boca olhos ressecados cansaço dor articular crônica com fraqueza,sindrome_sjogren
"sede constante, micção frequente, perda de peso rápida",diabetes_tipo1,sede constante micção frequente emagrecimento rápida,diabetes_tipo1
"cansaço severo, dor articular, crises de dor intensa",anemia_falciforme,cansaço severo dor articular crises de dor intensa,anemia_falciforme
"tremor nas mãos, rigidez muscular, instabilidade postural",parkinson,tremor nas mãos rigidez instabilidade postural,doenca_parkinson
"cólicas abdominais intensas, diarreia sanguinolenta",doenca_crohn,cólicas abdominais intensas diarréia sanguinolenta,doenca_crohn
"muita sede, urinar muito, emagrecimento",diabetes_tipo1,sede excessiva micção frequente emagrecimento,diabetes_tipo1
"cansaço, dor na região abdominal, tremor, hepatopatia",doenca_wilson,cansaço dor na região abdominal tremor hepatopatia,doenca_wilson
"dor abdominal severa, náusea, vômito, confusão mental acompanhado de tontura",porfiria,dor abdominal severa náusea vômito confusão mental acompanhado de tontura,porfiria
"cansaço severo, dor articular intensa, dor em crises",anemia_falciforme,cansaço severo dor articular intensa dor em crises,anemia_falciforme
"febre alta, dor no corpo todo, cansaço extremo",febre_maculosa,febre alta dor no corpo todo cansaço extremo,febre_maculosa
"cansaço extremo, obesidade progressiva, sensação de frio",hipotireoidismo,cansaço extremo obesidade progressiva sensação de frio,hipotireoidismo
fadiga constante dor abdominal tremores hepatopatia,doenca_wilson,fadiga constante dor abdominal tremores hepatopatia,doenca_wilson
"fadiga severa, dor nas juntas, dor em episódios",anemia_falciforme,fadiga severa dor nas juntas dor em episódios,anemia_falciforme
dor articular fadiga crônica sensibilidade ao sol com fraqueza,lupus,dor articular fadiga crônica sensibilidade ao sol com fraqueza,lupus
"dor severa na barriga, enjoo, vômito persistente, confusao",porfiria,dor severa na barriga enjoo vômito persistente confusão,porfiria
"dor abdominal severa, náusea, vômito, confusão mental",porfiria,dor abdominal severa náusea vômito confusão mental,porfiria
"emagrecimento rápido, taquicardia, ansiedade constante e mal estar geral",hipertireoidismo,emagrecimento rápido taquicardia ansiedade constante e mal estar,hipertireoidismo
