sintomas_texto,diagnostico,texto_limpo,rotulo_limpo
"tremores nas mãos, rigidez muscular, movimentos lentos",parkinson,tremores nas mãos rigidez muscular movimentos lentos,parkinson
"dor intensa na barriga, enjoo, vômito, confusao e perda de apetite",porfiria,dor intensa na barriga enjoo vômito confusao e perda de apetite,porfiria
"esquecimento constante, confusão, perda de referências com fraqueza",alzheimer,esquecimento constante confusão perda de referências com fraqueza,alzheimer
"cansaço, dor na barriga, tremor, problemas no fígado",doenca_wilson,cansaço dor na barriga tremor problemas no fígado,doenca_wilson
"dor abdominal intensa, náusea persistente, vômito, confusão mental com fraqueza",porfiria,dor abdominal intensa náusea persistente vômito confusão mental com fraqueza,porfiria
cansaco extremo dor articular severa crises dolorosas e mal estar geral,anemia_falciforme,cansaco extremo dor articular severa crises dolorosas e mal estar geral,anemia_falciforme
"dor no corpo todo, cansaço constante, dificuldade para dormir",fibromialgia,dor no corpo todo cansaço constante dificuldade para dormir,fibromialgia
"cansaço extremo, dor articular severa, crises dolorosas",anemia_falciforme,cansaço extremo dor articular severa crises dolorosas,anemia_falciforme
"cansaço extremo, dor articular, episódios dolorosos e dor de cabeça",anemia_falciforme,cansaço extremo dor articular episódios dolorosos e dor de cabeça,anemia_falciforme
"temperatura alta, dor nos músculos, cansaço que nao passa",febre_maculosa,temperatura alta dor nos músculos cansaço que nao passa,febre_maculosa
"tremores nas extremidades, rigidez, lentidão motora e dor de cabeça",parkinson,tremores nas extremidades rigidez lentidão motora e dor de cabeça,parkinson
"dor abdominal severa, enjoo, vômito, confusao mental",porfiria,dor abdominal severa enjoo vômito confusao mental,porfiria
"fadiga persistente, perda de força, visão dupla, formigamento acompanhado de tontura",esclerose_multipla,fadiga persistente perda de força visão dupla formigamento acompanhado de tontura,esclerose_multipla
"fadiga severa, obesidade, frieza excessiva",hipotireoidismo,fadiga severa obesidade frieza excessiva,hipotireoidismo
"dores musculares difusas, fadiga severa, sono ruim",fibromialgia,dores musculares difusas fadiga severa sono ruim,fibromialgia
"fadiga severa crônica, dor no corpo todo, problemas de foco",sindrome_fadiga_cronica,fadiga severa crônica dor no corpo todo problemas de foco,sindrome_fadiga_cronica
"dor articular crônica, juntas inchadas, rigidez matinal",artrite_reumatoide,dor articular crônica juntas inchadas rigidez matinal,artrite_reumatoide
"tremor nas mãos, rigidez corporal, bradicinesia",parkinson,tremor nas mãos rigidez corporal bradicinesia,parkinson
"secura na boca, olhos ressecados, cansaço, dor articular crônica com fraqueza",sindrome_sjogren,secura na boca olhos ressecados cansaço dor articular crônica com fraqueza,sindrome_sjogren
"sede constante, micção frequente, perda de peso rápida",diabetes_tipo1,sede constante micção frequente perda de peso rápida,diabetes_tipo1
"cansaço severo, dor articular, crises de dor intensa",anemia_falciforme,cansaço severo dor articular crises de dor intensa,anemia_falciforme
"tremor nas mãos, rigidez muscular, instabilidade postural",parkinson,tremor nas mãos rigidez muscular instabilidade postural,parkinson
